"category","membership_tier","unique_customer","revenue_contribution","customers_lifetime_value"
Electronics,Free,1917,634270.60,1381.2424573243350536
Electronics,Silver,765,263202.26,1216.4763248730964467
Clothing & Apparel,Free,1742,251701.49,1380.9077887197851388
Home & Kitchen,Free,1390,234883.68,1388.6405755395683453
Electronics,Gold,528,167485.84,1749.9885072463768116
Clothing & Apparel,Silver,670,96188.09,1313.0338067520372526
Home & Kitchen,Silver,574,94325.80,1486.8566273932253314
Sports & Outdoors,Free,907,93367.25,1322.5980500000000000
Jewelry & Accessories,Free,536,84164.86,1282.5075874125874126
Electronics,Platinum,260,83978.30,2737.5068975903614458
Office Supplies,Free,389,70883.25,1472.6606845965770171
Home & Kitchen,Gold,380,67774.90,1701.0016450216450216
Clothing & Apparel,Gold,461,64895.33,2118.1526559714795009
Toys & Games,Free,731,61216.64,1370.2039352428393524
Beauty & Personal Care,Free,857,57336.84,1334.4339130434782609
Books,Free,994,53624.09,1344.2545553539019964
Automotive,Free,399,49710.34,1461.3968509615384615
Travel & Luggage,Free,277,48717.75,1357.1716027874564460
Home & Kitchen,Platinum,216,37227.97,2862.5519691119691120
Clothing & Apparel,Platinum,258,36503.77,2793.2923241590214067
Sports & Outdoors,Silver,347,33229.47,1296.6092207792207792
Health & Wellness,Free,631,33165.45,1457.9655701754385965
Food & Grocery,Free,738,32582.56,1311.9707872078720787
Jewelry & Accessories,Silver,192,32101.00,1179.9654187192118227
Office Supplies,Silver,163,28946.23,1610.7135119047619048
Toys & Games,Silver,301,25481.27,1366.8171470588235294
Pet Supplies,Free,397,24887.98,1183.1106428571428571
Office Supplies,Gold,121,23629.45,1892.1896062992125984
Beauty & Personal Care,Silver,324,22642.66,1509.9619891008174387
Automotive,Silver,169,22608.68,1621.3570555555555556
Travel & Luggage,Silver,111,20725.57,1700.1006086956521739
Sports & Outdoors,Gold,205,19218.24,1695.6217982456140351
Jewelry & Accessories,Gold,121,19173.81,1701.0902307692307692
Books,Silver,345,18527.26,1456.2066839378238342
Toys & Games,Gold,220,17195.95,1890.9235458167330677
Beauty & Personal Care,Gold,225,15845.00,1751.0233333333333333
Travel & Luggage,Gold,78,15526.88,1340.7879012345679012
Books,Gold,280,15053.21,1854.6966339869281046
Food & Grocery,Silver,329,14991.25,1452.0212849162011173
Sports & Outdoors,Platinum,133,13805.15,2456.2803378378378378
Automotive,Gold,111,13499.50,2060.9246491228070175
Health & Wellness,Silver,239,12834.51,1291.5869758064516129
Jewelry & Accessories,Platinum,64,10187.53,2513.7363235294117647
Toys & Games,Platinum,111,10169.11,2663.5077419354838710
Office Supplies,Platinum,65,10013.22,2575.0883333333333333
Pet Supplies,Silver,154,9883.29,1230.6061111111111111
Health & Wellness,Gold,179,9555.72,1814.1552040816326531
Books,Platinum,151,8809.02,2918.2183928571428571
Beauty & Personal Care,Platinum,140,8763.03,2268.1317218543046358
Automotive,Platinum,55,8627.48,1831.4682758620689655
Food & Grocery,Gold,196,7964.44,1654.9826315789473684
Travel & Luggage,Platinum,36,6742.59,2764.6442105263157895
Pet Supplies,Gold,109,6535.28,1718.5603571428571429
Health & Wellness,Platinum,81,4675.19,2271.0054945054945055
Pet Supplies,Platinum,56,3767.75,2885.3380701754385965
Food & Grocery,Platinum,84,3580.88,2274.4350000000000000
